Test : Rate 1,"1.50000",mm/min
Test : Rate 2,"-5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"37.50000","0.93761","1.74948"
"37.60000","0.93999","1.71726"
"37.70000","0.94259","1.74719"
"37.80000","0.94520","1.75142"
"37.90000","0.94758","1.76516"
"38.00000","0.94996","1.75667"
"38.10000","0.95257","1.77924"
"38.20000","0.95512","1.79418"
"38.30000","0.95767","1.78869"
"38.40000","0.95999","1.76932"
"38.50000","0.96254","1.75579"
"38.60000","0.96503","1.80327"
"38.70000","0.96764","1.78266"
"38.80000","0.97008","1.80330"
"38.90000","0.97251","1.81194"
"39.00000","0.97506","1.80556"
"39.10000","0.97761","1.77839"
"39.20000","0.98011","1.79057"
"39.30000","0.98249","1.80882"
"39.40000","0.98504","1.81997"
"39.50000","0.98759","1.78680"
"39.60000","0.99014","1.78841"
"39.70000","0.99252","1.80818"
"39.80000","0.99501","1.80279"
"39.90000","0.99756","1.83664"
"40.00000","1.00011","1.81590"
"40.10000","1.00260","1.77688"
"40.20000","1.00504","1.79111"
"40.30000","1.00748","1.79637"
"40.40000","1.01008","1.83429"
"40.50000","1.01263","1.81926"
"40.60000","1.01507","1.82575"
"40.70000","1.01751","1.82592"
"40.80000","1.02011","1.84229"
"40.90000","1.02261","1.83667"
"41.00000","1.02504","1.84544"
"41.10000","1.02754","1.86596"
"41.20000","1.02997","1.84367"
"41.30000","1.03258","1.85719"
"41.40000","1.03507","1.84838"
"41.50000","1.03745","1.84903"
"41.60000","1.04006","1.86440"
"41.70000","1.04267","1.90439"
"41.80000","1.04510","1.83842"
"41.90000","1.04748","1.85588"
"42.00000","1.05009","1.85720"
"42.10000","1.05253","1.84275"
"42.20000","1.05508","1.86779"
"42.30000","1.05757","1.86312"
"42.40000","1.06006","1.83272"
"42.50000","1.06250","1.85107"
"42.60000","1.06511","1.90218"
"42.70000","1.06749","1.92100"
"42.80000","1.07009","1.86304"
"42.90000","1.07253","1.86504"
"43.00000","1.07514","1.88138"
"43.10000","1.07757","1.90109"
"43.20000","1.08001","1.91185"
"43.30000","1.08256","1.91574"
"43.40000","1.08505","1.89730"
"43.50000","1.08755","1.90980"
"43.60000","1.08998","1.88859"
"43.70000","1.09259","1.91799"
"43.80000","1.09497","1.90342"
"43.90000","1.09758","1.93014"
"44.00000","1.10007","1.94672"
"44.10000","1.10251","1.93170"
"44.20000","1.10511","1.91160"
"44.30000","1.10761","1.95598"
"44.40000","1.11004","1.95503"
"44.50000","1.11254","1.92183"
"44.60000","1.11514","1.93336"
"44.70000","1.11758","1.94136"
"44.80000","1.12007","1.95791"
"44.90000","1.12251","1.98127"
"45.00000","1.12506","1.97672"
"45.10000","1.12761","1.95884"
"45.20000","1.13005","1.96609"
"45.30000","1.13254","1.94665"
"45.40000","1.13498","1.97354"
"45.50000","1.13753","1.97121"
"45.60000","1.14013","2.02258"
"45.70000","1.14257","1.97115"
"45.80000","1.14501","2.00907"
"45.90000","1.14761","1.94687"
"46.00000","1.15011","1.98558"
"46.10000","1.15260","1.98528"
"46.20000","1.15504","1.99673"
"46.30000","1.15753","2.02307"
"46.40000","1.16008","1.98715"
"46.50000","1.16263","2.01759"
"46.60000","1.16501","2.00288"
"46.70000","1.16750","2.00086"
"46.80000","1.17011","2.01105"
"46.90000","1.17266","1.96782"
"47.00000","1.17504","1.99212"
"47.10000","1.17753","1.98963"
"47.20000","1.18003","1.99153"
"47.30000","1.18263","2.00219"
"47.40000","1.18513","2.00900"
"47.50000","1.18745","2.04135"
"47.60000","1.19011","2.04526"
"47.70000","1.19255","2.03454"
"47.80000","1.19510","2.01135"
"47.90000","1.19754","2.02940"
"48.00000","1.19997","2.01226"
"48.10000","1.20252","2.06338"
"48.20000","1.20513","2.03455"
"48.30000","1.20751","2.03762"
"48.40000","1.21000","2.03769"
"48.50000","1.21255","2.02435"
"48.60000","1.21510","2.07904"
"48.70000","1.21760","2.05326"
"48.80000","1.22003","2.04500"
"48.90000","1.22253","2.07998"
"49.00000","1.22513","2.08891"
"49.10000","1.22763","2.03339"
"49.20000","1.23006","2.05515"
"49.30000","1.23256","2.06302"
"49.40000","1.23499","2.06546"
"49.50000","1.23754","2.09190"
"49.60000","1.24015","2.07557"
"49.70000","1.24259","2.08300"
"49.80000","1.24508","2.10952"
"49.90000","1.24763","2.08045"
"50.00000","1.25012","2.08176"
"50.10000","1.25250","2.10178"
"50.20000","1.25500","2.10427"
"50.30000","1.25749","2.09639"
"50.40000","1.26004","2.05099"
"50.50000","1.26253","2.06793"
"50.60000","1.26497","2.12224"
"50.70000","1.26752","2.14229"
"50.80000","1.27013","2.07525"
"50.90000","1.27256","2.11948"
"51.00000","1.27506","2.10548"
"51.10000","1.27755","2.11592"
"51.20000","1.28004","2.08780"
"51.30000","1.28259","2.08433"
"51.40000","1.28514","2.12251"
"51.50000","1.28758","2.10902"
"51.60000","1.29007","2.12967"
"51.70000","1.29257","2.12700"
"51.80000","1.29506","2.11889"
"51.90000","1.29761","2.12462"
"52.00000","1.30005","2.13600"
"52.10000","1.30265","2.11780"
"52.20000","1.30498","2.13606"
"52.30000","1.30753","2.14938"
"52.40000","1.31008","2.16733"
"52.50000","1.31263","2.15503"
"52.60000","1.31501","2.14084"
"52.70000","1.31756","2.14244"
"52.80000","1.32005","2.17271"
"52.90000","1.32249","2.16894"
"53.00000","1.32509","2.16523"
"53.10000","1.32753","2.14374"
"53.20000","1.33002","2.14847"
"53.30000","1.33257","2.20726"
"53.40000","1.33507","2.18979"
"53.50000","1.33750","2.18650"
"53.60000","1.34000","2.16111"
"53.70000","1.34260","2.18387"
"53.80000","1.34510","2.20432"
"53.90000","1.34759","2.12814"
"54.00000","1.35003","2.18785"
"54.10000","1.35258","2.19706"
"54.20000","1.35518","2.23079"
"54.30000","1.35756","2.21076"
"54.40000","1.36011","2.21063"
"54.50000","1.36255","2.21449"
"54.60000","1.36510","2.23287"
"54.70000","1.36765","2.21326"
"54.80000","1.36997","2.22363"
"54.90000","1.37247","2.19963"
"55.00000","1.37513","2.24148"
"55.10000","1.37757","2.25368"
"55.20000","1.38000","2.19884"
"55.30000","1.38255","2.25298"
"55.40000","1.38505","2.23872"
"55.50000","1.38760","2.25319"
"55.60000","1.39009","2.23208"
"55.70000","1.39247","2.27454"
"55.80000","1.39508","2.27767"
"55.90000","1.39768","2.27354"
"56.00000","1.40006","2.21205"
"56.10000","1.40250","2.23480"
"56.20000","1.40505","2.26954"
"56.30000","1.40749","2.29089"
"56.40000","1.41021","2.28630"
"56.50000","1.41259","2.28191"
"56.60000","1.41502","2.25720"
"56.70000","1.41763","2.30196"
"56.80000","1.42012","2.27541"
"56.90000","1.42262","2.28838"
"57.00000","1.42500","2.30465"
"57.10000","1.42749","2.30052"
"57.20000","1.43010","2.29227"
"57.30000","1.43259","2.28788"
"57.40000","1.43497","2.27048"
"57.50000","1.43752","2.29656"
"57.60000","1.44007","2.31138"
"57.70000","1.44262","2.30831"
"57.80000","1.44506","2.29397"
"57.90000","1.44749","2.25773"
"58.00000","1.45004","2.32064"
"58.10000","1.45265","2.31279"
"58.20000","1.45509","2.31909"
"58.30000","1.45752","2.33363"
"58.40000","1.46002","2.31467"
"58.50000","1.46257","2.32798"
"58.60000","1.46512","2.30503"
"58.70000","1.46755","2.34219"
"58.80000","1.47005","2.32225"
"58.90000","1.47254","2.34758"
"59.00000","1.47503","2.33877"
"59.10000","1.47764","2.31552"
"59.20000","1.48002","2.37137"
"59.30000","1.48251","2.32824"
"59.40000","1.48506","2.31808"
"59.50000","1.48761","2.36020"
"59.60000","1.48999","2.32221"
"59.70000","1.49254","2.32644"
"59.80000","1.49509","2.38015"
"59.90000","1.49759","2.35484"
"60.00000","1.50002","2.37211"
"60.10000","1.50252","2.38213"
"60.20000","1.50495","2.34964"
"60.30000","1.50750","2.38412"
"60.40000","1.51005","2.36456"
"60.50000","1.51260","2.40663"
"60.60000","1.51504","2.38473"
"60.70000","1.51765","2.35022"
"60.80000","1.52008","2.37874"
"60.90000","1.52258","2.37259"
"61.00000","1.52513","2.38543"
"61.10000","1.52756","2.41990"
"61.20000","1.53011","2.42197"
"61.30000","1.53249","2.41098"
"61.40000","1.53504","2.39642"
"61.50000","1.53754","2.41394"
"61.60000","1.54009","2.41067"
"61.70000","1.54252","2.42214"
"61.80000","1.54507","2.40332"
"61.90000","1.54751","2.42842"
"62.00000","1.55012","2.40217"
"62.10000","1.55261","2.43269"
"62.20000","1.55505","2.43015"
"62.30000","1.55754","2.41671"
"62.40000","1.56009","2.43905"
"62.50000","1.56258","2.41726"
"62.60000","1.56496","2.47783"
"62.70000","1.56757","2.40684"
"62.80000","1.57006","2.44145"
"62.90000","1.57256","2.45128"
"63.00000","1.57505","2.44078"
"63.10000","1.57749","2.45968"
"63.20000","1.58009","2.44649"
"63.30000","1.58264","2.42685"
"63.40000","1.58508","2.45881"
"63.50000","1.58757","2.45669"
"63.60000","1.59007","2.47284"
"63.70000","1.59262","2.43979"
"63.80000","1.59511","2.49041"
"63.90000","1.59749","2.45058"
"64.00000","1.60010","2.44779"
"64.10000","1.60259","2.46786"
"64.20000","1.60508","2.48024"
"64.30000","1.60752","2.52305"
"64.40000","1.60996","2.49170"
"64.50000","1.61251","2.46085"
"64.60000","1.61511","2.44761"
"64.70000","1.61761","2.46198"
"64.80000","1.61999","2.48550"
"64.90000","1.62259","2.47501"
"65.00000","1.62520","2.51607"
"65.10000","1.62758","2.51428"
"65.20000","1.63002","2.50560"
"65.30000","1.63257","2.53226"
"65.40000","1.63506","2.49557"
"65.50000","1.63767","2.50365"
"65.60000","1.63999","2.52902"
"65.70000","1.64254","2.49482"
"65.80000","1.64503","2.49683"
"65.90000","1.64764","2.50299"
"66.00000","1.65002","2.49635"
"66.10000","1.65251","2.47235"
"66.20000","1.65501","2.54667"
"66.30000","1.65761","2.49144"
"66.40000","1.66011","2.51850"
"66.50000","1.66249","2.54431"
"66.60000","1.66509","2.50480"
"66.70000","1.66764","2.55448"
"66.80000","1.67014","2.52695"
"66.90000","1.67252","2.52587"
"67.00000","1.67501","2.57535"
"67.10000","1.67750","2.54586"
"67.20000","1.68017","2.53107"
"67.30000","1.68255","2.54643"
"67.40000","1.68504","2.56114"
"67.50000","1.68753","2.56879"
"67.60000","1.69003","2.56128"
"67.70000","1.69263","2.57486"
"67.80000","1.69507","2.56604"
"67.90000","1.69751","2.58097"
"68.00000","1.70006","2.55024"
"68.10000","1.70261","2.57789"
"68.20000","1.70504","2.59770"
"68.30000","1.70754","2.57864"
"68.40000","1.71003","2.61659"
"68.50000","1.71252","2.59837"
"68.60000","1.71507","2.60848"
"68.70000","1.71751","2.55061"
"68.80000","1.72000","2.58526"
"68.90000","1.72261","2.60197"
"69.00000","1.72510","2.58977"
"69.10000","1.72748","2.59493"
"69.20000","1.73009","2.60060"
"69.30000","1.73258","2.61409"
"69.40000","1.73513","2.62082"
"69.50000","1.73757","2.57471"
"69.60000","1.74006","2.61667"
"69.70000","1.74250","2.58454"
"69.80000","1.74511","2.64960"
"69.90000","1.74754","2.59997"
"70.00000","1.75009","2.59104"
"70.10000","1.75259","2.63554"
"70.20000","1.75514","2.63742"
"70.30000","1.75757","2.61904"
"70.40000","1.76001","2.65504"
"70.50000","1.76256","2.62067"
"70.60000","1.76505","2.62611"
"70.70000","1.76755","2.64231"
"70.80000","1.76998","2.62554"
"70.90000","1.77253","2.64006"
"71.00000","1.77497","2.65529"
"71.10000","1.77758","2.64182"
"71.20000","1.78007","2.65113"
"71.30000","1.78251","2.66128"
"71.40000","1.78511","2.68281"
"71.50000","1.78766","2.71293"
"71.60000","1.79004","2.64621"
"71.70000","1.79254","2.65772"
"71.80000","1.79514","2.64597"
"71.90000","1.79758","2.71203"
"72.00000","1.80007","2.64454"
"72.10000","1.80251","2.67770"
"72.20000","1.80500","2.68252"
"72.30000","1.80761","2.69275"
"72.40000","1.81005","2.67490"
"72.50000","1.81260","2.69908"
"72.60000","1.81503","2.68255"
"72.70000","1.81753","2.71445"
"72.80000","1.82008","2.72952"
"72.90000","1.82257","2.70889"
"73.00000","1.82495","2.70587"
"73.10000","1.82761","2.73375"
"73.20000","1.83011","2.72675"
"73.30000","1.83254","2.71858"
"73.40000","1.83504","2.72377"
