Test : Rate 1,"1.50000",mm/min
Test : Rate 2,"-5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"40.00000","1.00000","1.44634"
"40.10000","1.00255","1.44481"
"40.20000","1.00510","1.44187"
"40.30000","1.00742","1.43430"
"40.40000","1.01003","1.46948"
"40.50000","1.01258","1.45932"
"40.60000","1.01507","1.46032"
"40.70000","1.01751","1.48633"
"40.80000","1.02000","1.45574"
"40.90000","1.02249","1.44969"
"41.00000","1.02499","1.48143"
"41.10000","1.02754","1.46865"
"41.20000","1.03009","1.47905"
"41.30000","1.03252","1.46654"
"41.40000","1.03507","1.48220"
"41.50000","1.03751","1.49423"
"41.60000","1.04000","1.50442"
"41.70000","1.04255","1.47956"
"41.80000","1.04505","1.51338"
"41.90000","1.04765","1.50894"
"42.00000","1.04998","1.50649"
"42.10000","1.05253","1.51353"
"42.20000","1.05502","1.53251"
"42.30000","1.05751","1.52365"
"42.40000","1.05995","1.47677"
"42.50000","1.06256","1.48477"
"42.60000","1.06499","1.51069"
"42.70000","1.06760","1.49701"
"42.80000","1.07009","1.52146"
"42.90000","1.07253","1.50171"
"43.00000","1.07502","1.48785"
"43.10000","1.07757","1.51012"
"43.20000","1.08007","1.55921"
"43.30000","1.08250","1.52460"
"43.40000","1.08511","1.51029"
"43.50000","1.08755","1.52171"
"43.60000","1.09010","1.53762"
"43.70000","1.09253","1.57201"
"43.80000","1.09497","1.55213"
"43.90000","1.09758","1.54164"
"44.00000","1.10013","1.52724"
"44.10000","1.10251","1.57051"
"44.20000","1.10506","1.55177"
"44.30000","1.10749","1.50467"
"44.40000","1.11010","1.56069"
"44.50000","1.11259","1.55603"
"44.60000","1.11492","1.54413"
"44.70000","1.11752","1.60416"
"44.80000","1.12007","1.56782"
"44.90000","1.12251","1.58134"
"45.00000","1.12500","1.57144"
"45.10000","1.12750","1.54708"
"45.20000","1.12999","1.57839"
"45.30000","1.13260","1.60618"
"45.40000","1.13503","1.60965"
"45.50000","1.13747","1.56241"
"45.60000","1.14008","1.59145"
"45.70000","1.14263","1.60074"
"45.80000","1.14506","1.57967"
"45.90000","1.14744","1.60323"
"46.00000","1.15005","1.66941"
"46.10000","1.15254","1.58314"
"46.20000","1.15515","1.59888"
"46.30000","1.15747","1.58153"
"46.40000","1.16002","1.60293"
"46.50000","1.16252","1.59194"
"46.60000","1.16507","1.60367"
"46.70000","1.16750","1.61770"
"46.80000","1.17000","1.61597"
"46.90000","1.17249","1.63720"
"47.00000","1.17510","1.65021"
"47.10000","1.17753","1.60451"
"47.20000","1.17991","1.67904"
"47.30000","1.18258","1.64230"
"47.40000","1.18507","1.64881"
"47.50000","1.18762","1.66330"
"47.60000","1.19006","1.62005"
"47.70000","1.19249","1.63591"
"47.80000","1.19504","1.62599"
"47.90000","1.19759","1.67557"
"48.00000","1.20003","1.64647"
"48.10000","1.20252","1.66182"
"48.20000","1.20502","1.63251"
"48.30000","1.20751","1.69204"
"48.40000","1.21012","1.66062"
"48.50000","1.21255","1.69209"
"48.60000","1.21505","1.67498"
"48.70000","1.21760","1.68609"
"48.80000","1.22009","1.68951"
"48.90000","1.22253","1.67949"
"49.00000","1.22502","1.67424"
"49.10000","1.22746","1.62998"
"49.20000","1.23001","1.66817"
"49.30000","1.23256","1.68876"
"49.40000","1.23494","1.67959"
"49.50000","1.23754","1.69306"
"49.60000","1.24009","1.70063"
"49.70000","1.24253","1.69849"
"49.80000","1.24497","1.71787"
"49.90000","1.24752","1.69314"
"50.00000","1.25001","1.69752"
"50.10000","1.25256","1.73127"
"50.20000","1.25511","1.70538"
"50.30000","1.25755","1.74044"
"50.40000","1.26004","1.70577"
"50.50000","1.26259","1.72868"
"50.60000","1.26503","1.71066"
"50.70000","1.26758","1.71597"
"50.80000","1.27007","1.73949"
"50.90000","1.27262","1.73382"
"51.00000","1.27506","1.72040"
"51.10000","1.27749","1.73153"
"51.20000","1.28004","1.74992"
"51.30000","1.28254","1.73791"
"51.40000","1.28503","1.72089"
"51.50000","1.28752","1.73699"
"51.60000","1.29002","1.71121"
"51.70000","1.29245","1.74972"
"51.80000","1.29500","1.79459"
"51.90000","1.29755","1.79574"
"52.00000","1.29999","1.78323"
"52.10000","1.30254","1.73867"
"52.20000","1.30509","1.79775"
"52.30000","1.30747","1.78322"
"52.40000","1.31002","1.76947"
"52.50000","1.31263","1.76132"
"52.60000","1.31506","1.76413"
"52.70000","1.31761","1.77155"
"52.80000","1.31999","1.76160"
"52.90000","1.32249","1.79069"
"53.00000","1.32515","1.79895"
"53.10000","1.32753","1.78707"
"53.20000","1.33002","1.80267"
"53.30000","1.33252","1.81461"
"53.40000","1.33501","1.78336"
"53.50000","1.33762","1.84498"
"53.60000","1.34000","1.80748"
"53.70000","1.34249","1.82894"
"53.80000","1.34515","1.81706"
"53.90000","1.34753","1.81152"
"54.00000","1.35003","1.81885"
"54.10000","1.35252","1.80091"
"54.20000","1.35501","1.82036"
"54.30000","1.35756","1.82266"
"54.40000","1.36006","1.83471"
"54.50000","1.36249","1.80799"
"54.60000","1.36499","1.80471"
"54.70000","1.36759","1.82024"
"54.80000","1.37009","1.84648"
"54.90000","1.37252","1.85018"
"55.00000","1.37502","1.81687"
"55.10000","1.37751","1.87119"
"55.20000","1.38012","1.83495"
"55.30000","1.38261","1.88083"
"55.40000","1.38493","1.88975"
"55.50000","1.38760","1.84543"
"55.60000","1.39003","1.88287"
"55.70000","1.39258","1.87975"
"55.80000","1.39502","1.83748"
"55.90000","1.39746","1.87795"
"56.00000","1.40001","1.88998"
"56.10000","1.40261","1.89326"
"56.20000","1.40499","1.86093"
"56.30000","1.40749","1.87694"
"56.40000","1.41004","1.86932"
"56.50000","1.41259","1.87786"
"56.60000","1.41508","1.89021"
"56.70000","1.41746","1.92770"
"56.80000","1.42007","1.91146"
"56.90000","1.42256","1.91195"
"57.00000","1.42511","1.94131"
